email_id,sender,subject,body,urls,has_attachment,urgency_level,label,attack_type,indicators
SYNTH-001,support@gmaill.com,Urgent: Password Reset Required,"Dear user, our system detected unusual activity on your account. Please click the link below to reset your password immediately to avoid suspension.",https://secure.gmaill.com/reset?uid=12345,False,high,phishing,credential_harvesting,The email uses urgent language and a suspicious link from a domain that mimics a legitimate service. It requests password reset.
SYNTH-002,ceo@twiter.com,Immediate Approval Needed for Invoice #9876,"Hi team, I need the attached invoice approved by EOD. Please review and sign off. Thanks, CEO",,True,medium,phishing,BEC,"Sender claims to be CEO, requests approval of invoice, uses urgency, attachment likely malicious."
SYNTH-003,updates@amaz0n.com,Important System Update Available,Please download the latest driver from the link below to keep your device secure. Failure to update may result in security risks.,http://update.amaz0n.com/driver.exe,False,low,phishing,malware_delivery,"Suspicious download link from fake domain, claims system update, low urgency but malicious."
SYNTH-004,billing@paypa1.com,您的發票已準備好 - 付款請盡快,尊敬的客戶，您的發票已生成，請點擊下方連結完成付款，以免延遲。感謝您的合作！,https://paypa1.com/pay?invoice=54321,True,high,phishing,invoice_fraud,"Chinese language, urgent payment request, fake domain resembling PayPal, attachment likely malicious."
SYNTH-005,login@googlemail.com,アカウント確認が必要です,あなたのアカウントに不正ログインが検出されました。以下のリンクから確認してください。,https://googlemail.com/verify?user=abc,False,medium,phishing,credential_harvesting,"Japanese language, suspicious verification link, fake domain, urgency."
SYNTH-006,project@service.microsofts.com,Project Plan Attachment,"Hi all, please find the updated project plan attached. Let me know if any changes are needed. Regards.",,True,low,phishing,BEC,"Fake domain microsofts.com, attachment may contain malware, no urgency but BEC."
SYNTH-007,driver@security.applemail.com,Critical Driver Update Required,Your system requires an immediate driver update. Download from the link below to maintain security.,http://security.applemail.com/driver.dll,False,high,phishing,malware_delivery,"Urgent update claim, fake domain applemail, malicious download link."
SYNTH-008,invoices@twiter.com,付款提醒：發票 #2023-001 已到期,請盡快完成付款以避免服務中斷。點擊下方鏈接查看發票細節。,https://twiter.com/invoice/2023001,True,medium,phishing,invoice_fraud,"Chinese text, urgent payment, fake domain twiter, link leads to phishing site."
SYNTH-009,verify@outl0ok.com,Account Verification Required,"To keep your account secure, please verify your details by clicking the link below. This action is mandatory.",https://outl0ok.com/verify?token=xyz,False,low,phishing,credential_harvesting,"Generic verification email, suspicious domain outl0ok, link directs to phishing."
SYNTH-010,meeting@faceb0ok.com,重要：本週會議議程,本週的會議已更新，請在附件中查看最新議程並準備相關報告。,,True,high,phishing,BEC,"Fake domain faceb0ok, attachment potentially malicious, urgent meeting agenda."
SYNTH-011,patches@security.update.com,Security Patch Available,Download the latest security patch to protect your system from vulnerabilities. Click the link below.,http://security.update.com/patch.exe,False,medium,phishing,malware_delivery,"Fake domain update.com, malicious download link, claims security patch."
SYNTH-012,receipts@paypa1.com,收據已發送 - 請查收,您的收據已發送至您的郵箱。若需查看，請點擊以下連結。,https://paypa1.com/receipt?order=98765,True,low,phishing,invoice_fraud,"Chinese, fake PayPal-like domain, link leads to phishing site, attachment may be malicious."
SYNTH-013,security@gmaill.com,二次認證失敗 - 立即更新,您的帳戶因二次認證失敗被鎖定。請使用以下連結重置密碼以恢復訪問。,https://gmaill.com/reset2fa?code=123,False,high,phishing,credential_harvesting,"Urgent password reset, fake domain gmaill, phishing link."
SYNTH-014,budget@faceb0ok.com,請審核預算報告,請審核附件中的預算報告，並於今天結束前提供回覆。,,True,medium,phishing,BEC,"Fake domain, urgent budget review, attachment may be malicious."
SYNTH-015,report@security.applemail.com,Monthly Report Delivery,The monthly report is ready. Click the link below to download the report. Please keep it confidential.,http://security.applemail.com/report.pdf,False,low,phishing,malware_delivery,"Suspicious download link from fake domain, claims confidential report, potential malware."
