email_id,sender,subject,body,urls,has_attachment,urgency_level,label,attack_type,indicators
PHISH-001,security@paypa1-support.com,Urgent: Your Account Has Been Compromised,"Dear Customer, We have detected unauthorized access to your PayPal account. Your account will be permanently suspended within 24 hours unless you verify your identity immediately. Click the link below to secure your account now.",http://paypa1-support.com/verify-account,False,high,phishing,credential_harvesting,Spoofed domain (paypa1 vs paypal); high urgency with 24-hour deadline; generic greeting; suspicious URL not matching official PayPal domain
PHISH-002,admin@micr0soft-security.com,Action Required: Password Expiration Notice,"Your Microsoft 365 password will expire today. To avoid losing access to your email and files, please update your password immediately by clicking the link below. Failure to act will result in account lockout.",http://micr0soft-security.com/password-reset,False,high,phishing,credential_harvesting,Spoofed domain using zero instead of 'o'; password expiration scare tactic; threatening account lockout; non-official Microsoft URL
PHISH-003,ceo@company-mail.net,Confidential - Wire Transfer Needed ASAP,"Hi, I need you to process an urgent wire transfer of $45,000 to a new vendor. I'm currently in a meeting and can't talk, but this needs to be done before end of day. I'll send the details separately. Please confirm you can handle this. - CEO",,False,high,phishing,BEC,CEO impersonation; unusual request channel; urgency pressure; request to bypass normal approval process; vague details with promise of follow-up
PHISH-004,billing@amaz0n-orders.com,"Your Order #392-4851290 Has Been Placed - $1,299.99","Thank you for your order of MacBook Pro 16-inch ($1,299.99). If you did not make this purchase, click here immediately to cancel and request a refund. Your credit card will be charged within 2 hours.",http://amaz0n-orders.com/cancel-order?id=392,False,high,phishing,credential_harvesting,Spoofed Amazon domain with zero; fake high-value order to create panic; 2-hour urgency; link to fake cancellation page designed to harvest credentials
PHISH-005,hr@company-benefits-portal.com,Employee Benefits Update - Immediate Action Required,"Dear Employee, Our benefits provider has updated their system. To continue receiving your health insurance coverage, please log in to the new portal and re-enter your personal information including SSN and banking details by Friday.",http://company-benefits-portal.com/update,False,medium,phishing,credential_harvesting,External domain posing as internal HR; requesting SSN and banking details via email; deadline pressure; no mention of specific company name
PHISH-006,delivery@fedx-tracking.com,FedEx: Delivery Failed - Package Returned,"We attempted to deliver your package but no one was available. Please review the attached shipping label and reschedule delivery. If not claimed within 48 hours, the package will be returned to sender.",http://fedx-tracking.com/reschedule,True,medium,phishing,malware_delivery,Misspelled brand (fedx vs fedex); malicious attachment disguised as shipping label; 48-hour pressure; no tracking number provided
PHISH-007,invoice@quickbooks-invoicing.net,Invoice #INV-7823 Due - Payment Overdue,"Please find attached the overdue invoice #INV-7823 for $3,450.00. Payment was due on March 15. To avoid late fees and service interruption, please process payment immediately or download the attached invoice for your records.",,True,medium,phishing,invoice_fraud,Fake QuickBooks domain; unsolicited invoice with no prior business relationship; malicious attachment; threatening late fees
PHISH-008,support@dropbox-sharing.com,John shared a document with you,John Smith has shared a file with you: 'Q4_Financial_Report.pdf'. Click below to view the shared document in your Dropbox account. This link will expire in 24 hours.,http://dropbox-sharing.com/view/doc-q4report,False,low,phishing,credential_harvesting,Fake Dropbox sharing notification; non-official domain; link expiration creates subtle urgency; leads to fake login page
PHISH-009,tax-refund@irs-gov-refund.com,"IRS Tax Refund Notification - Refund of $4,872.50","After reviewing your tax filing, you are eligible for a tax refund of $4,872.50. To receive your refund, please verify your identity and banking information through our secure portal within 5 business days.",http://irs-gov-refund.com/claim-refund,False,medium,phishing,credential_harvesting,IRS does not send refund notifications by email; fake government domain; requesting banking information; specific dollar amount to seem legitimate
PHISH-010,it-helpdesk@corp-vpn-access.com,VPN Certificate Renewal Required,"Your corporate VPN certificate expires tomorrow. To maintain remote access, download and install the updated certificate from the link below. Contact IT support if you experience any issues.",http://corp-vpn-access.com/cert-update.exe,False,medium,phishing,malware_delivery,External domain posing as IT helpdesk; download link points to executable file (.exe); certificate renewal pretext; no internal ticket reference
LEGIT-001,noreply@github.com,[GitHub] A new sign-in from Chrome on macOS,"Hey josephwu, We noticed a new sign-in to your account from Chrome on macOS. If this was you, no further action is needed. If you did not sign in recently, please review your account security settings.",https://github.com/settings/security,False,low,legitimate,none,Official github.com domain; personalized with username; no urgent action demanded; link points to official GitHub settings; calm tone
LEGIT-002,no-reply@accounts.google.com,Security alert: New device sign-in,"Your Google Account was just signed in to from a new Windows device. If this was you, you don't need to do anything. If not, we'll help you secure your account. You can review your recent activity at myaccount.google.com.",https://myaccount.google.com/notifications,False,low,legitimate,none,Official Google domain; balanced tone without panic; provides context; links to official Google domain; does not request credentials directly
LEGIT-003,newsletter@sans.org,SANS NewsBites - Weekly Cybersecurity News Summary,This week's top stories: Critical vulnerability in Apache Log4j patched; NIST releases updated cybersecurity framework; Ransomware attacks targeting healthcare sector increase 40%. Read the full newsletter at sans.org.,https://www.sans.org/newsletters/newsbites,False,low,legitimate,none,Known cybersecurity organization; informational content; no action required; official domain; consistent with expected newsletter format
LEGIT-004,aws-notifications@amazon.com,Your AWS Monthly Bill - March 2026,Your AWS bill for March 2026 is now available. Total charges: $127.43. You can view your detailed billing statement in the AWS Billing Console. Payment will be processed automatically using your default payment method.,https://console.aws.amazon.com/billing,True,low,legitimate,none,Official Amazon domain; expected monthly billing email; links to official AWS console; attachment is PDF bill; no urgent action required
LEGIT-005,team@slack.com,Weekly digest for NTHU Security Lab workspace,"Here's what happened in your Slack workspace this week: 23 messages in #general, 15 messages in #research, 8 messages in #paper-discussion. Top channels and conversations are summarized below.",https://nthu-security.slack.com,False,low,legitimate,none,Official Slack domain; routine weekly summary; workspace-specific content; no action required; informational only
